Project Code,Country,Vendor,Manufacturing Site,Shipment Mode,Product Group,Sub Classification,Brand,Scheduled Delivery Date,Delivered to Client Date,PO Sent to Vendor Date,Weight,Freight Cost,Shipment Value,Insurance,Delivery Delay,Shipping Duration,Delivery Status,Shipment Year,Shipment Month,Shipment Quarter
102-GY-T01,Guyana,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test - Ancillary,Generic,2008-04-09,2008-04-01,2008-02-28,,,2.4,0.0,-8,33.0,On-Time,2008,April,2008Q2
102-GY-T01,Guyana,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test - Ancillary,Generic,2008-07-28,2008-07-28,2008-02-28,14.0,360.0,2.13,0.0,0,151.0,On-Time,2008,July,2008Q3
117-ET-T01,Ethiopia,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"Trinity Biotech, Plc",,HRDT,HIV test,Capillus,2008-03-11,2008-03-11,2008-02-29,,,13399.25,21.44,0,11.0,On-Time,2008,March,2008Q1
113-ZW-T01,Zimbabwe,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test,Determine,2008-11-17,2008-11-17,2008-03-17,373.0,4112.46,117631.66,188.21,0,245.0,On-Time,2008,November,2008Q4
123-NG-T01,Nigeria,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Chembio Diagnostics Sys. Inc.,Air,HRDT,HIV test,Stat-Pak,2008-04-17,2008-04-17,2008-03-13,483.0,5468.88,38475.0,61.56,0,35.0,On-Time,2008,April,2008Q2
119-NA-T01,Namibia,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test,Determine,2008-06-04,2008-06-04,2008-03-18,33.0,1715.17,10222.58,16.36,0,78.0,On-Time,2008,June,2008Q2
108-VN-T01,Vietnam,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Mylan (formerly Matrix) Nashik,Air,ARV,Adult,Generic,2008-06-03,2008-06-03,2008-03-31,654.0,4051.34,96432.0,154.29,0,64.0,On-Time,2008,June,2008Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,Roche Basel,Truck,ARV,Adult,Invirase,2008-04-24,2008-04-24,2008-02-20,,,405.06,0.65,0,64.0,On-Time,2008,April,2008Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BMS Meymac, France",Truck,ARV,Pediatric,Zerit,2008-04-24,2008-04-24,2008-02-20,,,870.0,1.39,0,64.0,On-Time,2008,April,2008Q2
108-VN-T01,Vietnam,BRISTOL-MYERS SQUIBB,"BMS Meymac, France",Air,ARV,Pediatric,Videx,2008-07-12,2008-07-12,2008-03-31,81.0,2211.05,2800.0,4.48,0,103.0,On-Time,2008,July,2008Q3
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BMS Meymac, France",,ARV,Pediatric,Videx,2008-04-25,2008-04-07,2008-04-04,,,77.1,0.12,-18,3.0,On-Time,2008,April,2008Q2
102-NG-T01,Nigeria,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test,Determine,2008-07-09,2008-07-09,,1251.0,16090.22,439785.02,703.66,0,,On-Time,2008,July,2008Q3
102-NG-T01,Nigeria,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test - Ancillary,Generic,2008-07-09,2008-07-04,,,,54.98,0.09,-5,,On-Time,2008,July,2008Q3
117-ET-T01,Ethiopia,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,"Trinity Biotech, Plc",Air,HRDT,HIV test,Uni-Gold,2008-05-09,2008-05-09,,,,691.42,1.11,0,,On-Time,2008,May,2008Q2
108-VN-T01,Vietnam,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Mylan (formerly Matrix) Nashik,Air,ARV,Adult,Generic,2008-09-19,2008-09-19,2008-05-14,1537.0,13507.92,18359.04,29.37,0,128.0,On-Time,2008,September,2008Q3
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BMS Meymac, France",Truck,ARV,Adult,Zerit,2008-08-20,2008-08-20,,,,103.4,0.2,0,,On-Time,2008,August,2008Q3
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BMS Meymac, France",Truck,ARV,Adult,Videx EC,2008-08-20,2008-05-08,,,,1906.0,3.05,-104,,On-Time,2008,August,2008Q3
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BMS Meymac, France",Truck,ARV,Pediatric,Zerit,2008-08-20,2008-05-08,,,,1025.1,1.64,-104,,On-Time,2008,August,2008Q3
109-TZ-T01,Tanzania,BRISTOL-MYERS SQUIBB,"BMS Meymac, France",Air,ARV,Adult,Videx EC,2008-09-02,2008-09-02,2008-05-15,117.0,645.1,61470.99,98.35,0,110.0,On-Time,2008,September,2008Q3
106-HT-T01,Haiti,Orasure Technologies Inc.,"Pacific Biotech, Thailand",Air,HRDT,HIV test,OraQuick,2008-09-30,2008-09-30,2008-05-20,109.0,782.13,9800.0,15.68,0,133.0,On-Time,2008,September,2008Q3
106-HT-T01,Haiti,"Trinity Biotech, Plc","Trinity Biotech, Plc",Air,HRDT,HIV test,Capillus,2008-11-24,2008-11-24,2008-05-23,54.0,871.57,11676.0,22.88,0,185.0,On-Time,2008,November,2008Q4
116-ZA-T01,South Africa,S. BUYS WHOLESALER,GSK Ware (UK),Truck,ARV,Adult,Ziagen,2008-06-12,2008-06-09,,,,1049.4,1.68,-3,,On-Time,2008,June,2008Q2
108-VN-T01,Vietnam,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2008-09-19,2008-09-19,2008-07-01,2719.0,18614.72,92736.0,148.38,0,80.0,On-Time,2008,September,2008Q3
112-NG-T01,Nigeria,IDA FOUNDATION,"Novartis Pharma AG, Switzerland",Air,ACT,ACT,Coartem,2009-02-25,2008-09-09,2008-07-02,115.0,1755.87,1547.68,2.48,-169,69.0,On-Time,2009,February,2009Q1
108-VN-T01,Vietnam,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2008-10-08,2008-10-08,2008-07-03,2600.0,10179.16,60900.0,97.44,0,97.0,On-Time,2008,October,2008Q4
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BI, Ingelheim, Germany",Truck,ARV,Pediatric,Viramune,2008-07-10,2008-07-08,,,,696.5,1.11,-2,,On-Time,2008,July,2008Q3
108-VN-T01,Vietnam,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Mylan (formerly Matrix) Nashik,Air,ARV,Adult,Generic,2008-11-27,2008-11-27,2008-07-24,1224.0,4686.88,171192.0,335.54,0,126.0,On-Time,2008,November,2008Q4
102-GY-T01,Guyana,ZEPHYR BIOMEDICALS,Not Applicable,Air,MRDT,Malaria,Paramax,2008-08-15,2008-08-15,2008-07-25,34.0,180.0,3675.0,5.88,0,21.0,On-Time,2008,August,2008Q3
110-ZM-T01,Zambia,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test,Determine,2008-10-20,2008-10-20,2008-07-31,1053.0,11062.05,323955.0,634.95,0,81.0,On-Time,2008,October,2008Q4
119-NA-T01,Namibia,"Trinity Biotech, Plc","Trinity Biotech, Plc",Air,HRDT,HIV test,Uni-Gold,2008-09-18,2008-09-18,2008-08-26,,,320.0,0.51,0,23.0,On-Time,2008,September,2008Q3
104-CI-T01,C̫te d'Ivoire,BIO-RAD LABORATORIES (FRANCE),Bio-Rad Laboratories,Air,HRDT,HIV test,Genie,2008-10-02,2008-10-02,2008-08-27,562.0,11298.13,38000.0,60.8,0,36.0,On-Time,2008,October,2008Q4
104-CI-T01,C̫te d'Ivoire,IDA FOUNDATION,Ipca Dadra/Nagar Haveli IN,Air,ACT,ACT,Generic,2009-01-23,2009-01-23,2008-09-03,1708.0,12830.91,9750.0,19.11,0,142.0,On-Time,2009,January,2009Q1
131-NG-T01,Nigeria,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"MSD, Haarlem, NL",Air,ARV,Adult,Atripla,2009-03-10,2009-04-08,2009-03-06,,,453.6,0.89,29,33.0,Delayed,2009,March,2009Q1
119-NA-T01,Namibia,"Orgenics, Ltd",Inverness Japan,Air,HRDT,HIV test,Determine,2008-10-29,2008-10-29,2008-09-24,46.0,2698.04,10798.5,21.17,0,35.0,On-Time,2008,October,2008Q4
102-BW-T01,Botswana,"Trinity Biotech, Plc","Trinity Biotech, Plc",Air,HRDT,HIV test - Ancillary,Uni-Gold,2008-11-28,2008-11-28,2008-10-02,1.0,578.01,450.0,0.88,0,57.0,On-Time,2008,November,2008Q4
110-ZM-T01,Zambia,"Standard Diagnostics, Inc.","Standard Diagnostics, Korea",Air,HRDT,HIV test,Bioline,2009-01-23,2009-01-23,2008-10-02,100.0,1122.24,6380.0,12.5,0,113.0,On-Time,2009,January,2009Q1
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aspen-OSD, Port Elizabeth, SA",Truck,ARV,Adult,Viread,2009-05-17,2008-10-09,,,,1830.4,3.59,-220,,On-Time,2009,May,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aspen-OSD, Port Elizabeth, SA",Truck,ARV,Adult,Viread,2009-05-17,2009-05-17,,,,2745.6,5.38,0,,On-Time,2009,May,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BMS Meymac, France",Truck,ARV,Pediatric,Zerit,2009-05-17,2008-10-09,,,,858.0,1.68,-220,,On-Time,2009,May,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BMS Meymac, France",Truck,ARV,Pediatric,Videx,2009-05-17,2008-10-09,,,,91.35,0.18,-220,,On-Time,2009,May,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,ABBVIE (Abbott) Logis. UK,Truck,ARV,Pediatric,Kaletra,2009-05-17,2008-10-09,,,,1375.6,2.7,-220,,On-Time,2009,May,2009Q2
102-GY-T01,Guyana,ZEPHYR BIOMEDICALS,Not Applicable,Air,MRDT,Malaria,Paramax,2009-02-06,2009-02-06,2008-11-19,,,4050.0,7.94,0,79.0,On-Time,2009,February,2009Q1
109-TZ-T01,Tanzania,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"MSD, Haarlem, NL",Air,ARV,Adult,Atripla,2009-04-21,2009-04-21,2008-12-19,4093.0,9339.0,2520000.0,4939.2,0,123.0,On-Time,2009,April,2009Q2
104-CI-T01,C̫te d'Ivoire,IDA FOUNDATION,Gland Pharma Ltd Pally Factory,Air,ANTM,Malaria,Generic,2009-03-02,2009-03-02,2008-12-19,5209.0,25405.22,2731.4,5.35,0,73.0,On-Time,2009,March,2009Q1
111-MZ-T01,Mozambique,"Trinity Biotech, Plc","Trinity Biotech, Plc",Air,HRDT,HIV test,Uni-Gold,2009-03-23,2009-03-23,2009-01-05,1906.0,23914.8,182400.0,357.5,0,77.0,On-Time,2009,March,2009Q1
108-VN-T01,Vietnam,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2009-04-10,2009-04-10,2009-01-16,3509.0,12835.2,51350.04,100.65,0,84.0,On-Time,2009,April,2009Q2
108-VN-T01,Vietnam,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2009-04-10,2009-04-10,2009-01-16,,,50400.0,98.78,0,84.0,On-Time,2009,April,2009Q2
108-VN-T01,Vietnam,CIPLA LIMITED,"Cipla, Goa, India",Air,ARV,Adult,Generic,2009-03-23,2009-03-23,2009-01-16,924.0,4225.93,72864.0,142.81,0,66.0,On-Time,2009,March,2009Q1
108-VN-T01,Vietnam,Aurobindo Pharma Limited,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2009-03-16,2009-03-16,2008-10-21,211.0,892.5,20250.72,39.69,0,146.0,On-Time,2009,March,2009Q1
109-TZ-T01,Tanzania,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE (Abbott) Logis. UK,Air,ARV,Pediatric,Kaletra,2009-05-28,2009-05-28,2009-02-05,644.0,6668.61,21536.4,42.21,0,112.0,On-Time,2009,May,2009Q2
109-TZ-T01,Tanzania,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany,Air,ARV,Pediatric,Generic,2009-05-04,2009-05-04,2009-02-05,237.0,,21526.32,42.19,0,88.0,On-Time,2009,May,2009Q2
107-RW-T01,Rwanda,Premier Medical Corporation Ltd.,Premier Med. Corp Ltd. India,Air,HRDT,HIV test,First Response,2009-04-28,2009-04-28,2009-02-18,2800.0,12595.81,185602.5,363.78,0,69.0,On-Time,2009,April,2009Q2
123-NG-T01,Nigeria,BRISTOL-MYERS SQUIBB,"BMS Meymac, France",Air,ARV,Adult,Videx EC,2009-09-30,2009-09-30,2009-03-04,11.0,463.0,4734.0,9.28,0,210.0,On-Time,2009,September,2009Q3
106-HT-T01,Haiti,BRISTOL-MYERS SQUIBB,"BMS Meymac, France",Air,ARV,Pediatric,Videx,2009-03-31,2009-03-31,2009-03-06,43.0,260.0,760.0,1.49,0,25.0,On-Time,2009,March,2009Q1
106-HT-T01,Haiti,BRISTOL-MYERS SQUIBB,"BMS Meymac, France",Air,ARV,Pediatric,Videx,2009-03-31,2009-03-31,2009-03-06,,,402.88,0.79,0,25.0,On-Time,2009,March,2009Q1
106-HT-T01,Haiti,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany,Air,ARV,Pediatric,Generic,2009-04-15,2009-04-15,2009-03-06,10.0,893.22,472.88,0.93,0,40.0,On-Time,2009,April,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2009-03-31,2008-12-02,,,,47522.75,93.14,-119,,On-Time,2009,March,2009Q1
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Cipla, Goa, India",Air,ARV,Adult,Generic,2009-04-07,2008-12-03,,,,49840.0,97.69,-125,,On-Time,2009,April,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aurobindo Unit III, India",Air,ARV,Pediatric,Generic,2009-04-07,2008-12-03,,,,3588.48,7.03,-125,,On-Time,2009,April,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BMS Meymac, France",Air,ARV,Pediatric,Zerit,2009-05-05,2008-12-23,,,,1152.0,2.26,-133,,On-Time,2009,May,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,GSK Mississauga (Canada),Air,ARV,Pediatric,Epivir,2009-05-12,2008-12-30,,,,10512.0,20.6,-133,,On-Time,2009,May,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2009-03-31,2008-11-21,,,,3384.0,6.63,-130,,On-Time,2009,March,2009Q1
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aurobindo Unit III, India",Air,ARV,Pediatric,Generic,2009-06-25,2009-04-21,2009-03-18,,,1954.9,3.83,-65,34.0,On-Time,2009,June,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aurobindo Unit III, India",Truck,ARV,Pediatric,Generic,2009-06-25,2009-06-05,2009-03-18,,,16642.0,32.62,-20,79.0,On-Time,2009,June,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aurobindo Unit III, India",Air,ARV,Pediatric,Generic,2009-06-25,2009-06-17,2009-03-18,,,1932.3,3.79,-8,91.0,On-Time,2009,June,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"BMS Meymac, France",Truck,ARV,Adult,Zerit,2009-08-19,2009-08-19,2009-06-15,,,10665.0,20.9,0,65.0,On-Time,2009,August,2009Q3
116-ZA-T01,South Africa,S. BUYS WHOLESALER,ABBVIE Ludwigshafen Germany,Air,ARV,Adult,Aluvia,2009-06-25,2009-04-14,2009-03-27,,,134385.3,263.4,-72,18.0,On-Time,2009,June,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,GSK Aranda,Air,ARV,Adult,Retrovir,2009-06-25,2009-04-29,2009-03-27,,,80640.0,158.05,-57,33.0,On-Time,2009,June,2009Q2
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aurobindo Unit III, India",Air,ARV,Adult,Generic,2009-06-25,2009-04-20,2009-03-27,,,35016.0,68.63,-66,24.0,On-Time,2009,June,2009Q2
144-BW-T01,Botswana,Orasure Technologies Inc.,"Pacific Biotech, Thailand",Air,HRDT,HIV test,OraQuick,2009-11-13,2009-11-13,2009-03-25,48.0,1172.11,7000.0,13.72,0,233.0,On-Time,2009,November,2009Q4
104-CI-T01,C̫te d'Ivoire,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE Ludwigshafen Germany,Air,ARV,Adult,Aluvia,2009-06-30,2009-06-30,2009-03-30,2523.0,14806.48,420864.0,824.89,0,92.0,On-Time,2009,June,2009Q2
104-CI-T01,C̫te d'Ivoire,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),ABBVIE (Abbott) Logis. UK,Air,ARV,Adult,Norvir,2009-07-22,2009-07-22,2009-03-30,175.0,7642.97,15344.0,30.07,0,114.0,On-Time,2009,July,2009Q3
116-ZA-T01,South Africa,S. BUYS WHOLESALER,ABBVIE (Abbott) Logis. UK,Truck,ARV,Pediatric,Kaletra,2009-07-31,2009-04-21,2009-04-02,,,1080.0,2.12,-101,19.0,On-Time,2009,July,2009Q3
116-ZA-T01,South Africa,S. BUYS WHOLESALER,"Aspen-OSD, Port Elizabeth, SA",Truck,ARV,Adult,Truvada,2009-05-15,2009-04-17,2009-04-02,,,2816.0,5.52,-28,15.0,On-Time,2009,May,2009Q2
